,cpu,ram,gpu,gpu_mem
508,102.2,325898240,17,412
509,93.0,325898240,17,412
510,91.1,325898240,17,412
511,104.0,325898240,18,412
512,107.9,325898240,18,412
513,91.6,325898240,18,412
514,100.8,325898240,18,412
515,103.1,325898240,18,412
516,104.0,325898240,18,412
517,104.1,325898240,18,412
518,90.4,325898240,18,412
519,100.5,325898240,18,412
520,104.3,325898240,18,412
521,94.4,325898240,18,412
522,105.1,325898240,18,412
523,94.7,325898240,18,412
524,107.8,325898240,18,412
525,90.3,325898240,17,412
526,106.3,325898240,17,412
527,97.1,325898240,17,412
528,92.1,325898240,17,412
529,115.8,325898240,16,412
530,96.5,325898240,16,412
531,91.8,325898240,16,412
532,96.8,325898240,16,412
533,104.1,325898240,16,412
534,109.3,325898240,16,412
535,91.7,325898240,16,412
536,97.2,325898240,16,412
537,104.7,325898240,16,412
538,107.1,325898240,16,412
539,90.0,325898240,16,412
540,105.5,325898240,16,412
541,105.4,325898240,16,412
542,93.9,325898240,16,412
543,88.6,325898240,16,412
544,107.8,325898240,17,412
545,108.9,325898240,17,412
546,91.0,325898240,17,412
547,92.9,325898240,18,412
548,106.0,325898240,18,412
549,105.8,325898240,18,412
550,91.3,325898240,18,412
551,103.7,325898240,18,412
552,105.8,325898240,18,412
553,103.4,325898240,18,412
554,91.7,325898240,18,412
555,105.2,325898240,18,412
556,90.2,325898240,18,412
557,107.6,325898240,18,412
558,93.5,325898240,18,412
559,102.8,325898240,18,412
560,109.5,325898240,18,412
561,90.1,325898240,18,412
562,103.7,325898240,17,412
563,95.2,325898240,17,412
564,105.7,325898240,17,412
565,96.4,325898240,18,412
566,105.0,325898240,18,412
567,94.5,325898240,18,412
568,108.0,325898240,18,412
569,91.0,325898240,18,412
570,99.5,325898240,18,412
571,105.2,325898240,17,412
572,93.9,325898240,17,412
573,100.5,325898240,17,412
574,107.4,325898240,17,412
575,91.4,325898240,17,412
576,95.9,325898240,17,412
577,105.4,325898240,17,412
578,91.4,325898240,17,412
579,105.8,325898240,17,412
580,106.5,325898240,17,412
581,96.0,325898240,17,412
582,93.3,325898240,17,412
583,109.1,325898240,17,412
584,101.9,325898240,17,412
585,94.2,325898240,17,412
586,106.2,325898240,17,412
587,102.6,325898240,17,412
588,90.8,325898240,17,412
589,106.4,325898240,17,412
590,100.9,325898240,17,412
591,92.8,325898240,17,412
592,91.7,325898240,17,412
593,106.0,325898240,17,412
594,104.8,325898240,17,412
595,92.4,325898240,18,412
596,108.5,325898240,18,412
597,103.1,325898240,18,412
598,90.2,325898240,18,412
599,94.7,325898240,18,412
600,108.3,325898240,18,412
601,104.9,325898240,18,412
602,91.5,325898240,18,412
603,98.1,325898240,18,412
604,107.2,325898240,18,412
605,102.5,325898240,18,412
606,89.9,325898240,18,412
607,106.6,325898240,18,412
608,88.4,325898240,18,412
609,105.4,325898240,18,412
610,92.2,325898240,18,412
611,104.1,325898240,18,412
612,106.8,325898240,18,412
613,97.8,325898240,18,412
614,92.8,325898240,18,412
615,111.7,325898240,18,412
616,95.6,325898240,18,412
617,102.7,325898240,18,412
618,91.5,325898240,18,412
619,108.2,325898240,18,412
620,90.6,325898240,18,412
621,107.2,325898240,18,412
622,94.0,325898240,18,412
623,101.3,325898240,18,412
624,105.8,325898240,18,412
625,97.0,325898240,18,412
626,95.4,325898240,18,412
627,103.0,325898240,18,412
628,105.7,325898240,18,412
629,91.0,325898240,18,412
630,106.1,325898240,18,412
631,104.2,325898240,18,412
632,90.9,325898240,18,412
633,104.3,325898240,18,412
634,102.2,325898240,18,412
635,93.4,325898240,18,412
636,106.9,325898240,18,412
637,104.3,325898240,18,412
638,89.5,325898240,17,412
639,107.7,325898240,17,412
640,91.4,325898240,17,412
641,106.9,325898240,18,412
642,96.9,325898240,18,412
643,92.5,325898240,18,412
644,108.8,325898240,18,412
645,104.2,325898240,18,412
646,88.9,325898240,18,412
647,100.6,325898240,17,412
648,106.8,325898240,17,412
649,93.3,325898240,17,412
650,107.7,325898240,17,412
651,105.1,325898240,17,412
652,91.1,325898240,17,412
653,105.3,325898240,17,412
654,89.0,325898240,17,412
655,112.3,325898240,17,412
656,92.5,325898240,18,412
657,106.5,325898240,18,412
658,90.1,325898240,18,412
659,106.6,325898240,18,412
660,90.4,325898240,18,412
661,103.3,325898240,18,412
662,106.9,325898240,18,412
663,94.9,325898240,18,412
664,100.9,325898240,18,412
665,107.8,325898240,17,412
666,91.6,325898240,17,412
667,105.1,325898240,17,412
668,92.1,325898240,18,412
669,108.2,325898240,18,412
670,92.5,325898240,18,412
671,102.4,325898240,18,412
672,105.1,325898240,18,412
673,91.4,325898240,18,412
674,106.9,325898240,18,412
675,107.9,325898240,18,412
676,89.9,325898240,18,412
677,92.7,325898240,18,412
678,110.2,325898240,18,412
679,105.0,325898240,18,412
680,90.9,325898240,18,412
681,102.9,325898240,18,412
682,91.8,325898240,18,412
683,112.1,325898240,18,412
684,90.5,325898240,18,412
685,100.5,325898240,18,412
686,105.3,325898240,18,412
687,96.6,325898240,18,412
688,102.2,325898240,18,412
689,105.4,325898240,18,412
690,91.7,325898240,18,412
691,103.8,325898240,18,412
692,104.1,325898240,18,412
693,89.2,325898240,18,412
694,100.7,325898240,18,412
695,105.5,325898240,18,412
696,93.4,325898240,18,412
697,104.3,325898240,18,412
698,109.0,325898240,18,412
699,87.9,325898240,18,412
700,101.5,325898240,18,412
701,109.0,325898240,18,412
702,91.4,325898240,18,412
703,104.7,325898240,18,412
704,105.9,325898240,18,412
705,93.9,325898240,18,412
706,96.7,325898240,18,412
707,91.4,325898240,18,412
708,106.8,325898240,18,412
709,107.1,325898240,18,412
710,91.1,325898240,18,412
711,95.5,325898240,18,412
712,96.0,325898240,18,412
713,113.2,325898240,18,412
714,94.3,325898240,18,412
715,110.6,325898240,18,412
716,90.9,325898240,18,412
717,92.5,325898240,18,412
718,108.4,325898240,18,412
719,106.5,325898240,18,412
720,89.9,325898240,18,412
721,107.9,325898240,18,412
722,90.3,325898240,18,412
723,107.2,325898240,18,412
724,96.5,325898240,18,412
725,94.6,325898240,18,412
726,106.5,325898240,17,412
727,107.7,325898240,17,412
728,90.2,325898240,17,412
729,94.2,325898240,17,412
730,112.7,325898240,17,412
731,104.3,325898240,17,412
